Month,Raw_C20,Raw_C22,Raw_C29,Raw_F,EngleGranger_P_C22,EngleGranger_P_C29,EngleGranger_P_F,System_Cointegrated
2020-02-01,95.8,100.2,122.6,103.3,0.05407369521948935,0.4509327957071314,0.20350323870667597,1
2020-03-01,95.2,85.6,79.4,89.0,0.023387695196837463,0.2368560525592756,0.2185021391601411,1
2020-04-01,89.4,66.7,19.5,75.6,0.2288602538413495,0.8573143185144387,0.19796189523203245,1
2020-05-01,88.5,76.5,60.8,91.6,0.7999941755904358,0.8438588102791744,0.4608746082722934,0
2020-06-01,90.2,86.7,95.6,97.2,0.4674492326016796,0.672237884964086,0.29678811593809873,1
2020-07-01,92.3,93.5,110.0,97.9,0.14354187457277873,0.5223467435177678,0.0012632172968299867,1
2020-08-01,96.3,96.4,105.9,100.6,0.11336352716571174,0.5109420832777409,0.0008295037685187269,1
2020-09-01,98.4,97.3,114.5,99.2,0.14157730280124392,0.5989798873689901,0.0006130513020522131,0
2020-10-01,95.3,100.2,123.4,98.8,0.17049109805377455,0.6504742376555522,0.0009044604060777316,0
2020-11-01,101.3,100.9,124.1,99.9,0.11896756187521312,0.5391886740681087,0.0006406516588894231,0
2020-12-01,100.3,101.9,119.3,101.3,0.17251466399427923,0.6812712227924219,0.0009710869773759788,1
2021-01-01,99.0,101.0,112.6,98.3,0.1759827970985577,0.7350318173208799,0.0006760344405195559,0
2021-02-01,98.2,99.0,109.9,95.7,0.145796805960762,0.6956594770863532,0.0008828420281311266,0
2021-03-01,97.4,101.1,111.4,100.0,0.14611072990724744,0.6637377750486534,0.0012854904493226904,0
2021-04-01,96.1,101.0,107.1,100.2,0.12003411836162825,0.5715498910851454,0.0006701644779982798,0
2021-05-01,96.0,101.2,97.3,100.5,0.10578974230437382,0.5169572965927951,0.0005577526896742532,0
2021-06-01,97.9,100.3,94.2,100.8,0.11665741884876041,0.5422741175742143,0.0005896838427686098,0
2021-07-01,97.0,101.2,100.4,100.7,0.11821908357661876,0.6074731397059581,0.0006846476021200757,0
2021-08-01,99.8,98.3,84.1,99.4,0.11482887392695373,0.5549605756481051,0.0005880261348303942,0
2021-09-01,100.5,98.4,82.6,101.0,0.14309496591850562,0.6174160380045205,0.0007636736254782626,0
2021-10-01,105.0,98.6,93.0,101.4,0.16354268501604302,0.5929621356290801,0.0006846775353247355,0
2021-11-01,104.2,99.7,101.1,101.5,0.3968582518699454,0.7776856629504966,0.0021680316781640314,0
2021-12-01,108.9,100.3,106.3,100.4,0.43716485462939036,0.7673782830698965,0.0028770532594937256,0
2022-01-01,100.1,100.3,104.9,102.9,0.732110907188713,0.803565136832642,0.3399014721821753,0
2022-02-01,103.1,100.0,102.0,103.3,0.31103618937550437,0.38261790135221374,0.06946918278204253,0
2022-03-01,107.8,99.0,87.2,103.8,0.3157694755015856,0.32683569390793027,0.06296105193345686,0
2022-04-01,96.3,100.1,96.8,102.4,0.5621065017844032,0.7129013812317069,0.0980656377583744,0
2022-05-01,99.5,99.6,102.2,103.1,0.18295091721343293,0.21499855891662262,0.033936192364528425,0
2022-06-01,95.7,98.7,104.1,102.5,0.1471619533770604,0.1597373318684464,0.033343169099288764,0
2022-07-01,93.9,98.0,107.1,101.8,0.14303259624625364,0.11220334252601405,0.04033688898345604,0
2022-08-01,91.6,97.8,105.6,102.2,0.12534743189054054,0.1064553109239173,0.04895307351122418,0
2022-09-01,93.5,98.0,113.2,101.8,0.13422616605401788,0.104902234046019,0.08480089437695781,0
2022-10-01,87.8,96.7,110.2,102.7,0.13771903456599893,0.17840990554982905,0.0906203104770767,0
2022-11-01,86.3,96.9,114.5,103.0,0.22333203011100222,0.23084972526646774,0.24661817158783733,0
2022-12-01,98.1,95.2,117.1,100.9,0.4632891852168329,0.2520223883500038,0.5615735145790128,0
2023-01-01,83.6,96.1,116.2,103.9,0.05349095990747855,0.2294874042630934,0.1086799466663324,0
2023-02-01,83.2,95.6,122.1,105.2,0.07348589492514733,0.12115621706929769,0.1643101278574277,0
2023-03-01,83.3,94.8,120.0,104.3,0.3217054269486028,0.35312072799965777,0.4741005616735748,0
2023-04-01,86.2,93.5,116.8,103.9,0.5848947660860443,0.7161880346078109,0.8133305697902288,0
2023-05-01,94.1,94.6,123.9,104.7,0.4549716325223805,0.5340543494073694,0.6602127080113325,0
2023-06-01,89.8,94.1,118.5,104.4,0.28557268469037045,0.27426427788503716,0.3175615862691133,0
2023-07-01,87.1,93.8,116.3,105.0,0.19111626609125965,0.28563906824619933,0.29432687492520293,0
2023-08-01,82.7,93.2,114.5,104.3,0.2406399192408465,0.3893519266440981,0.41712807751412107,0
2023-09-01,85.6,93.4,115.4,104.7,0.44623986640916213,0.5391429914221217,0.5734022745559753,0
2023-10-01,84.7,93.2,117.0,104.2,0.4661811525033538,0.46690285392962844,0.8817410594912622,0
2023-11-01,85.2,92.9,116.4,103.6,0.21140050720771802,0.5552292881505486,0.8010148983046168,0
2023-12-01,80.0,92.8,114.4,104.8,0.6019637311536129,0.8097739876328289,0.812378735793058,0
2024-01-01,81.6,91.9,111.0,103.1,0.7404474263859644,0.9368617382957711,0.9658259681798695,0
2024-02-01,84.9,93.5,113.2,103.7,0.7359546627410894,0.8953710144688363,0.8566513697319462,0
2024-03-01,81.5,93.1,109.8,103.0,0.6749139641072106,0.8922082194858143,0.8508222075933218,0
